County,2024 Senior Population
"Bedford County, TN","8,811"
"Benton County, TN","3,990"
"Cannon County, TN","3,093"
"Cheatham County, TN","7,964"
"Coffee County, TN","11,956"
"Davidson County, TN","101,024"
"Decatur County, TN","3,013"
"DeKalb County, TN","4,459"
"Dickson County, TN","10,815"
"Henry County, TN","8,250"
"Hickman County, TN","4,987"
"Houston County, TN","1,895"
"Humphreys County, TN","4,177"
"Macon County, TN","4,689"
"Marshall County, TN","6,593"
"Maury County, TN","21,547"
"Montgomery County, TN","26,796"
"Perry County, TN","2,072"
"Robertson County, TN","13,287"
"Rutherford County, TN","46,553"
"Smith County, TN","3,923"
"Stewart County, TN","3,147"
"Sumner County, TN","37,337"
"Trousdale County, TN","1,896"
"Williamson County, TN","41,669"
"Wilson County, TN","29,374"